state,electoral_vote,landon,landon_1932_rep,landon_1932_dem,landon_1932_soc,landon_1932_others,landon_1932_did_not_vote,landon_1932_vote_not_indicated,roosevelt,roosevelt_1932_rep,roosevelt_1932_dem,roosevelt_1932_soc,roosevelt_1932_others,roosevelt_1932_did_not_vote,roosevelt_1932_vote_not_indicated,lemke,lemke_1932_rep,lemke_1932_dem,lemke_1932_soc,lemke_1932_others,lemke_1932_did_not_vote,lemke_1932_vote_not_indicated,thomas,browder,colvin,aiken,others_minor,minor_total,grand_total,electoral_votes_total,roosevelt_votes,roosevelt_pct,roosevelt_electoral_votes,landon_votes,landon_pct,landon_electoral_votes,lemke_votes,lemke_pct,lemke_electoral_votes,thomas_votes,thomas_pct,thomas_electoral_votes,other_votes,other_pct,other_electoral_votes,margin,margin_pct,total_votes,state_abbr,landon_share_total,roosevelt_share_total,landon_share_two_party,roosevelt_share_two_party,actual_landon_share,actual_roosevelt_share,landon_error,roosevelt_error,absolute_landon_error
Missouri,15,50022,33551,11149,244,45,2975,2058,38267,4463,30608,455,15,1485,1241,2368,322,1680,73,4,122,167,468,97,103,16,13,697,91354,15,1111043,60.76,15,697891,38.16,0,14630,0.8,0,3454,0.19,0,1617,0.09,0,413152,22.59,1828635,MO,0.547562230444206,0.4188869671826083,0.5665711470285086,0.4334288529714913,0.3858023565259982,0.6141976434740019,0.18076879050251043,-0.18076879050251055,0.18076879050251043
Montana,4,4490,3336,828,23,0,139,164,3562,660,2517,94,1,151,139,212,57,108,12,1,6,28,58,10,18,0,2,88,8352,4,159690,69.28,4,63598,27.59,0,5549,2.41,0,1066,0.46,0,609,0.26,0,96092,41.69,230512,MT,0.537595785440613,0.4264846743295019,0.557625434674615,0.442374565325385,0.28482497939880336,0.7151750206011966,0.27280045527581165,-0.27280045527581165,0.27280045527581165
Nebraska,7,18280,12436,4241,100,7,685,811,11770,1677,9045,177,2,418,451,862,157,594,31,2,18,60,79,34,42,1,4,160,31072,7,347445,57.14,7,247731,40.74,0,12847,2.11,0,-,-,0,-,-,0,99714,16.4,608023,NE,0.5883110195674562,0.37879763130793,0.6083194675540765,0.3916805324459234,0.4162315012702125,0.5837684987297875,0.192087966283864,-0.19208796628386415,0.192087966283864
Nevada,3,1003,658,272,0,0,36,37,955,163,716,2,0,42,32,36,9,22,0,0,4,1,9,5,3,1,1,19,2013,3,31925,72.81,3,11923,27.19,0,-,-,0,-,-,0,-,-,0,20002,45.62,43848,NV,0.49826130153999,0.4744162940884252,0.5122574055158324,0.4877425944841675,0.2719166210545521,0.728083378945448,0.24034078446128032,-0.24034078446128043,0.24034078446128032
New Hampshire,4,9207,7504,1072,21,0,253,357,2737,479,1984,51,1,114,108,372,84,238,8,0,18,24,56,17,13,0,0,86,12402,4,108460,49.73,4,104642,47.98,0,4819,2.21,0,-,-,0,193,0.09,0,3818,1.75,218114,NH,0.7423802612481858,0.220690211256249,0.7708472873409243,0.2291527126590757,0.491041848504472,0.5089581514955279,0.2798054388364523,-0.27980543883645226,0.2798054388364523
New Jersey,16,58677,45361,8625,251,17,2383,2040,27631,5495,18642,1032,14,1548,900,2444,442,1633,89,1,104,175,601,367,87,23,24,1102,89854,16,1083850,59.54,16,720322,39.57,0,9407,0.52,0,3931,0.22,0,2927,0.16,0,364128,19.97,1820437,NJ,0.6530260199879805,0.3075099606027556,0.6798558650414793,0.3201441349585206,0.3992535079803921,0.6007464920196078,0.2806023570610872,-0.2806023570610872,0.2806023570610872
New Mexico,3,1625,1003,444,7,1,80,90,1662,212,1290,24,0,70,66,54,13,33,1,2,2,3,12,3,7,0,0,22,3363,3,106037,62.69,3,61727,36.5,0,924,0.55,0,343,0.2,0,105,0.06,0,44310,26.2,169176,NM,0.4831995242343146,0.4942016057091882,0.494371767569212,0.5056282324307879,0.3679394864214015,0.6320605135785985,0.12643228114781047,-0.12643228114781058,0.12643228114781047
New York,47,162260,114574,33052,805,45,7125,6659,139277,18241,99938,4101,141,10604,6252,14656,2106,10414,303,20,670,1143,2404,4372,364,138,164,7442,323635,47,3293222,58.85,47,2180670,38.97,0,-,-,0,86897,1.55,0,35609,0.64,0,1112552,19.88,5596398,NY,0.5013672810419145,0.4303520941801721,0.5381097510421606,0.4618902489578393,0.39837651163011617,0.6016234883698838,0.13973323941204446,-0.13973323941204446,0.13973323941204446
North Carolina,13,6113,3532,1656,33,5,580,307,16324,820,13778,119,6,946,655,35,5,20,3,0,4,3,56,11,48,2,4,121,22593,13,616141,73.4,13,223283,26.6,0,2,0,0,21,0,0,17,0,0,392858,46.8,839464,NC,0.2705705306953481,0.722524675784535,0.2724517537995276,0.7275482462004724,0.265995492146996,0.734004507853004,0.0064562616525315475,-0.0064562616525315475,0.0064562616525315475
North Dakota,4,4250,2787,1157,15,1,108,182,3666,694,2679,30,2,97,164,1111,192,743,32,5,29,110,41,13,32,0,1,87,9114,4,163148,59.6,4,72751,26.58,0,36708,13.41,0,552,0.2,0,557,0.2,0,90397,33.03,273716,ND,0.4663155584814571,0.402238314680711,0.5368873168266801,0.4631126831733199,0.3083989334418544,0.6916010665581457,0.22848838338482574,-0.2284883833848258,0.22848838338482574
